Nama_Ruas,Kecamatan,Panjang,Lebar,Kondisi,15 April,15,16 April,16,17 April,17,18 April,18,19 April,19,20 April,20,21 April,21,22 April,22,23 April,23,24 April,24,25 April,25,26 April,26,27 April,27,28 April,28,29 April,29
Jl. Tlogo Berlian,pedurungan,88 M,3 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,lancar,10 Menit,macet,12 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Nogososro,pedurungan,737 M,6 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,macet,12 Menit,macet,12 Menit,lancar,11 Menit,lancar,10 Menit,macet,12 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Turangga Timur,pedurungan,178 M,4 M,Baik,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,lancar,9 Menit,macet,10 Menit,lancar,9 Menit,sedang,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Tanggul Asri,pedurungan,943 M,3 M,Sedang,sedang,10 Menit,lancar,9 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,macet,10 Menit,macet,10 Menit,lancar,9 Menit,lancar,9 Menit,macet,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit
Jl. Gemah Timur,pedurungan,236 M,3 M,Baik,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,macet,9 Menit,macet,9 Menit,lancar,8 Menit,macet,9 Menit,lancar,8 Menit,sedang,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Gemah,pedurungan,487 M,4 M,Baik,lancar,8 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,macet,10 Menit,macet,10 Menit,lancar,9 Menit,lancar,9 Menit,macet,10 Menit,lancar,8 Menit,sedang,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Kalicari Timur,pedurungan,288 M,4 M,Baik,lancar,4 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,6 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Sendangguwo Baru,pedurungan,370 M,3 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Gemah 5,pedurungan,228 M,3 M,Baik,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,sedang,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Kyai Syakir,pedurungan,934 M,4 M,Baik,lancar,8 Menit,sedang,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,8 Menit,sedang,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Arya Mukti Utara,pedurungan,720 M,3 M,Sedang,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,12 Menit,lancar,12 Menit,lancar,9 Menit,sedang,9 Menit,lancar,9 Menit
Jl. Plamongan Indah,pedurungan,671 M,3 M,Baik,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,lancar,12 Menit,sedang,12 Menit,lancar,12 Menit
Jl. Plamongan Elok 7,pedurungan,261 M,3 M,Sedang,sedang,10 Menit,lancar,10 Menit,sedang,12 Menit,sedang,10 Menit,sedang,10 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,10 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,10 Menit,sedang,12 Menit,sedang,10 Menit
Jl. Margisari,pedurungan,185 M,3 M,Baik,sedang,12 Menit,lancar,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,lancar,10 Menit,macet,12 Menit,sedang,12 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit
Jl. Liman Mukti,pedurungan,131 M,3 M,Baik,sedang,10 Menit,lancar,9 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,macet,12 Menit,macet,12 Menit,lancar,11 Menit,lancar,10 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit
Jl. Zebra Tengah 4,pedurungan,159 M,3 M,Baik,lancar,9 Menit,lancar,9 Menit,sedang,10 Menit,sedang,10 Menit,lancar,9 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,lancar,9 Menit,macet,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,lancar,9 Menit
Jl. Sapen,pedurungan,865 M,4 M,Baik,sedang,12 Menit,lancar,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit,macet,10 Menit,macet,10 Menit,lancar,9 Menit,lancar,9 Menit,macet,10 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit
Jl. Parang Sarpo,pedurungan,233 M,4 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,8 Menit,macet,9 Menit,macet,9 Menit,lancar,8 Menit,macet,9 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Parang Baris,pedurungan,221 M,4 M,Baik,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,4 Menit,lancar,6 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Tirto Mukti Timur 3,pedurungan,98 M,4 M,Sedang,lancar,4 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,3 Menit,lancar,4 Menit
Jl. Tirto Mukti Timur,pedurungan,163 M,5 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,8 Menit,macet,9 Menit,lancar,8 Menit,lancar,8 Menit,macet,9 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Arya Mukti,pedurungan,873 M,8 M,Sedang,lancar,9 Menit,lancar,9 Menit,sedang,9 Menit,sedang,9 Menit,lancar,9 Menit,lancar,8 Menit,macet,9 Menit,lancar,8 Menit,macet,Lancar,,Macet,sedang,10 Menit,sedang,10 Menit,lancar,9 Menit,sedang,9 Menit,lancar,9 Menit
Jl. Kudan,pedurungan,810 M,4 M,Sedang,lancar,12 Menit,lancar,10 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,9 Menit,macet,10 Menit,lancar,9 Menit,lancar,9 Menit,macet,10 Menit,sedang,12 Menit,sedang,12 Menit,lancar,10 Menit,lancar,12 Menit,lancar,12 Menit
Jl. Tlogotimun,pedurungan,387 M,5 M,Baik,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,macet,12 Menit,macet,12 Menit,lancar,11 Menit,lancar,10 Menit,macet,12 Menit,lancar,2 Menit,lancar,2 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Taman Suryo Kusumo 1,pedurungan,377 M,4 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,lancar,9 Menit,macet,10 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,5 Menit
Jl. Taman Suryo Kusumo 2,pedurungan,76 M,4 M,Baik,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,macet,10 Menit,macet,10 Menit,lancar,9 Menit,lancar,9 Menit,macet,10 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Sidodrajat 1,pedurungan,38 M,4 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,macet,9 Menit,lancar,8 Menit,macet,Lancar,macet,12 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Sidomulyo 1,pedurungan,37 M,4 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,macet,9 Menit,lancar,8 Menit,macet,Lancar,macet,10 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Taman Suryo Kusumo 4,pedurungan,376 M,4 M,Baik,lancar,8 Menit,sedang,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,macet,9 Menit,lancar,8 Menit,macet,Lancar,macet,10 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,5 Menit
Jl. Borobudur,semarang barat,"1,096 M",5 M,Sedang,lancar,9 Menit,lancar,10 Menit,sedang,9 Menit,lancar,10 Menit,sedang,9 Menit,lancar,9 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,9 Menit,lancar,10 Menit,sedang,9 Menit,lancar,10 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Sri Kuncoro 3,semarang barat,616 M,4 M,Sedang,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Sri Rejeki Dalam,semarang barat,687 M,4 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Wologito Tengah,semarang barat,459 M,4 M,Sedang,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Subali,semarang barat,785 M,6 M,Sedang,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit
Jl. Dr. Suratmo,semarang barat,"2,308 M",8 M,Baik,lancar,7 Menit,lancar,8 Menit,sedang,8 Menit,sedang,8 Menit,lancar,8 Menit,macet,8 Menit,macet,8 Menit,lancar,7 Menit,lancar,7 Menit,macet,8 Menit,sedang,8 Menit,lancar,8 Menit,sedang,8 Menit,sedang,8 Menit,lancar,7 Menit
Jl. Abdulrachman Saleh,semarang barat,"3,597 M",12 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit,lancar,8 Menit,macet,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,macet,8 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Hanoman,semarang barat,"1,017 M",14 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Sriwibowo,semarang barat,278 M,3 M,Sedang,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Hilir,semarang barat,"1,013 M",6 M,Sedang,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit
Jl. Muradi,semarang barat,"1,137 M",7 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Sri Kuncoro Utara 3,semarang barat,196 M,5 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Rorojonggrang,semarang barat,693 M,3 M,Sedang,lancar,10 Menit,lancar,10 Menit,sedang,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,10 Menit,lancar,10 Menit,sedang,10 Menit,sedang,10 Menit,lancar,10 Menit
Jl. Ariloka,semarang barat,797 M,10 M,Sedang,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Puspogiwang Barat,semarang barat,492 M,4 M,Sedang,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit
Jl. Puspowarno,semarang barat,962 M,6 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,4 Menit,lancar,4 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Puspanjolo Selatan,semarang barat,741 M,8 M,Sedang,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Puspanjolo Tengah,semarang barat,702 M,5 M,Sedang,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,sedang,8 Menit,sedang,8 Menit,macet,8 Menit,macet,8 Menit,lancar,7 Menit,lancar,7 Menit,macet,8 Menit,sedang,8 Menit,sedang,8 Menit,sedang,8 Menit,sedang,8 Menit,lancar,7 Menit
Jl. Kenconowungu Tengah 1,semarang barat,417 M,7 M,Sedang,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit
Jl. Anjasmoro,semarang barat,"2,347 M",12 M,Sedang,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Puspanjolo Barat,semarang barat,"1,305 M",5 M,Baik,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Pusponjolo Barat 14,semarang barat,847 M,4 M,Rusak Ringan,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Sri Rejeki 1,semarang barat,362 M,4 M,Sedang,lancar,6 Menit,lancar,6 Menit,sedang,7 Menit,lancar,6 Menit,sedang,7 Menit,macet,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,macet,7 Menit,lancar,6 Menit,sedang,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Puspogiwang,semarang barat,386 M,4 M,Baik,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Puspowarno 1,semarang barat,256 M,4 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Puspowarno Tengah 1,semarang barat,359 M,4 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Puspowarno Tengah 2,semarang barat,337 M,6 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Puspowarno Tengah,semarang barat,684 M,8 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Cakrawala,semarang barat,232 M,3 M,Baik,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,3 Menit
Jl. Ronggolawe Selatan,semarang barat,335 M,5 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Puspowarno Selatan,semarang barat,981 M,4 M,Rusak Ringan,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,macet,8 Menit,macet,8 Menit,lancar,7 Menit,lancar,7 Menit,macet,8 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Mintojiwo Dalam,semarang barat,297 M,3 M,Sedang,lancar,6 Menit,sedang,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,macet,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,macet,8 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Kumudasmoro,semarang barat,971 M,4 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Sawojajar,semarang barat,709 M,5 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Anjasmoro 4,semarang barat,209 M,6 M,Baik,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Ronggolawe Timur,semarang barat,466 M,5 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,3 Menit,lancar,4 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Kenconowungu 1,semarang barat,425 M,3 M,Rusak Ringan,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,3 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Anjasmoro 1,semarang barat,228 M,5 M,Baik,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
Jl. Jembawan,semarang barat,654 M,3 M,Sedang,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Menuju Maron,semarang barat,"3,659 M",3 M,Rusak Berat,lancar,8 Menit,sedang,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. W. R. Supratman,semarang barat,"2,125 M",15 M,Baik,lancar,6 Menit,macet,9 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Aribuana,semarang barat,450 M,4 M,Sedang,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Ronggolawe,semarang barat,493 M,4 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,macet,8 Menit,macet,8 Menit,lancar,7 Menit,lancar,7 Menit,macet,8 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Pamularsih,semarang barat,"1,922 M",15 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit,lancar,6 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Simongan,semarang barat,"2,409 M",9 M,Baik,lancar,8 Menit,macet,12 Menit,sedang,9 Menit,lancar,8 Menit,lancar,9 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,8 Menit
Jl. Ngemplak Simongan,semarang barat,507 M,7 M,Sedang,lancar,8 Menit,sedang,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Damar Wulan 2,semarang barat,634 M,4 M,Sedang,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
