Nama_Ruas,Kecamatan,Panjang,Lebar,Kondisi,15 April,15,16 April,16,17 April,17,18 April,18,19 April,19,20 April,20,21 April,21,22 April,22,23 April,23,24 April,24,25 April,25,26 April,26,27 April,27,28 April,28,29 April,29
Jl. Payung Mas,banyumanik,811 M,4 M,Baik,sedang,18 Menit,lancar,16 Menit,sedang,18 Menit,sedang,20 Menit,sedang,20 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,lancar,16 Menit
Jl. Ngasem,banyumanik,"1,084 M",4 M,Sedang,sedang,18 Menit,lancar,16 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,10 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,lancar,9 Menit
Jl. Kyai Mojo 1,banyumanik,"1,766 M",3 M,Sedang,sedang,9 Menit,lancar,9 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,macet,9 Menit,sedang,8 Menit,macet,9 Menit,sedang,8 Menit,macet,8 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,lancar,8 Menit
Jl. Kyai Mojo,banyumanik,829 M,4 M,Sedang,sedang,9 Menit,lancar,8 Menit,macet,9 Macet,macet,9 Menit,macet,9 Menit,macet,10 Menit,sedang,9 Menit,sedang,9 Menit,sedang,8 Menit,sedang,9 Menit,lancar,4 Menit,lancar,4 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Gotong Royong,banyumanik,"1,376 M",4 M,Rusak Ringan,lancar,4 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Kp. Pentul 1,banyumanik,219 M,3 M,Sedang,lancar,6 Menit,lancar,6 Menir,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,sedang,18  Menit,sedang,18 Menit,sedang,12 Menit,macet,12 Menit,sedang,12 Menit
Jl. Potrosari Bd,banyumanik,429 M,4 M,Sedang,sedang,10 Menit,lancar,9 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,10 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit
Jl. Rasamala Timur,banyumanik,123 M,3 M,Sedang,sedang,14 Menit,sedang,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,10 Menit,sedang,12 Menit,sedang,12 Menit,macet,12 Menit,sedang,12 Menit
Jl. Blimbing,banyumanik,458 M,4 M,Sedang,sedang,10 Menit,lancar,9 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,sedang,9 Menit,macet,10 Menit,macet,12 Menit,sedang,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit
Jl. Murbei Timur,banyumanik,180 M,3 M,Sedang,sedang,10 Menit,lancar,9 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,9 Menit,sedang,8 Menit,macet,9 Menit,sedang,8 Menit,macet,8 Menit,macet,10 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit
Jl. Murbei,banyumanik,723 M,3 M,Sedang,sedang,9 Menit,lancar,8 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,macet,9 Menit,sedang,8 Menit,macet,9 Menit,sedang,8 Menit,macet,8 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Sendang Pentul,banyumanik,364 M,3 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,macet,12 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit
Jl. Potrosari 2,banyumanik,214 M,3 M,Sedang,sedang,10 Menit,lancar,9 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,10 Menit,macet,11 Menit,macet,10 Menit,sedang,9 Menit,macet,11 Menit,macet,12 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit
Jl. Ace,banyumanik,420 M,4 M,Baik,sedang,12 Menit,sedang,12 Menit,macet,14 Menit,macet,14 Menit,macet,14 Menit,macet,13 Menit,macet,13 Menit,macet,13 Menit,sedang,10 Menit,macet,13 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,lancar,16 Menit
Jl. Kalipepe 4,banyumanik,802 M,4 M,Baik,sedang,18 Menit,lancar,16 Menit,sedang,18 Menit,sedang,20 Menit,sedang,20 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,14 Menit,sedang,18 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
Jl. Taman Teuku Umar,banyumanik,715 M,3 M,Sedang,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,9 Menit
Jl. Jambu,banyumanik,278 M,3 M,Sedang,sedang,10 Menit,lancar,9 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,sedang,9 Menit,macet,10 Menit,sedang,9 Menit,macet,9 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,lancar,18 Menit
Jl. H. Suradi,banyumanik,706 M,3 M,Baik,sedang,18 Menit,lancar,18 Menit,sedang,20 Menit,sedang,20 Menit,sedang,20 Menit,sedang,18 Menit,sedang,18 Menit,sedang, 18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,lancar,14 Menit
Jl. Kanfer Utara,banyumanik,168 M,3 M,Baik,sedang,16 Menit,lancar,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,17 Menit,sedang,15 Menit,sedang,17 Menit,sedang,17 Menit,sedang,15 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit
Jl. Trunojoyo,banyumanik,332 M,6 M,Baik,sedang,18 Menit,sedang,16 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit
Jl. Kalijaten,banyumanik,656 M,3 M,Baik,sedang,18 Menit,lancar,18 Menit,sedang,20 Menit,sedang,20 Menit,sedang,20 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit
Jl. Ulin Utara,banyumanik,69 M,2 M,Sedang,sedang,18 Menit,lancar,18 Menit,sedang,18 Menit,sedang,20 Menit,sedang,20 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,lancar,16 Menit,sedang,16 Menit,lancar,16 Menit
Jl. Sawunggaling 5,banyumanik,294 M,4 M,Baik,sedang,16 Menit,lancar,16 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,17 Menit,sedang,17 Menit,sedang,17 Menit,sedang,17 Menit,sedang,17 Menit,sedang,16 Menit,sedang,16 Menit,lancar,16 Menit,sedang,16 Menit,lancar,16 Menit
